Drug,Cell
Irinotecan,NCI-H2052
PAK_5339,MDA-MB-231
Bleomycin (50 uM),L-428
Gemcitabine,CPC-N
BMS-536924,SUP-B8
AZD2014,Farage
Entospletinib,NB69
GSK591,Detroit562
SB505124,SW156
Axitinib,A2058
Nilotinib,SF126
Irinotecan,BPH-1
Olaparib,LU-139
JQ1,GB-1
Ulixertinib_1908,NCI-H2009
OTX015,CAL-72
Telomerase Inhibitor IX,LN-405
PAK_5339,NCI-H2135
GSK-LSD1,JIMT-1
WIKI4,RC-K8
AZD8055,ALL-PO
Sepantronium bromide,CCK-81
Talazoparib,MKN1
N-acetyl cysteine,MDA-MB-361
Uprosertib_2106,LN-405
PRT062607,C3A
Bleomycin,23132-87
Telomerase Inhibitor IX,CHSA8926
LGK974,UACC-257
BI-2536,SW1088
PFI-1,UACC-893
Entospletinib,IMR-5
UMI-77,SK-MEL-2
PFI-1,SCC90
PAK_5339,HARA
XAV939,MG-63
AZD5363,23132-87
MN-64,KMRC-20
VE821,NCI-H211
Selumetinib_1062,TC-YIK
SB590885,KYSE-410
Tamoxifen,RCC-FG2
LJI308,HCC1395
Ulixertinib_1908,UACC-257
PAK_5339,HCC-366
BEN,HCC1428
Niraparib,SW1271
XAV939,KY821
Lapatinib,DAN-G
SCH772984,HOS
AGI-5198,SK-MES-1
VE821,U-2-OS
ABT737,JHH-1
Pyridostatin,OVISE
Entinostat,C3A
SCH772984,769-P
Ulixertinib_1908,NALM-6
LCL161,SU-DHL-10
LGK974,KS-1
JQ1,NB5
GSK1904529A,IHH-4
Bleomycin (50 uM),LU-139
Entospletinib,A549
LJI308,D-283MED
UNC0638,ALL-PO
AZD3759,KNS-42
Entospletinib,OE21
Telomerase Inhibitor IX,SW1417
Dabrafenib,OVISE
GSK1904529A,OVCAR-5
Dabrafenib,PCI-15A
AZD3759,PL4
Remodelin,PANC-08-13
MIRA-1,KU812
Olaparib,SNU-407
Talazoparib,ST486
Sinularin,UACC-62
GSK2578215A,OVISE
AZD2014,MS-1
Talazoparib,LB647-SCLC
GSK1904529A,COLO-320-HSR
GSK591,SK-MEL-28
WEHI-539,AU565
Cediranib,NB13
CZC24832,DMS-114
Bromosporine,NCI-N87
5-azacytidine,OVCA420
PD0325901,NOS-1
Remodelin,KYSE-50
Fludarabine,HLE
PFI-1,MIA-PaCa-2
Ulixertinib_1908,SK-MG-1
Irinotecan,HCC2157
BEN,KELLY
Cytarabine,CL-11
Telomerase Inhibitor IX,PWR-1E
UNC0379,HT-3
Telomerase Inhibitor IX,U-2-OS
Dactolisib,ZR-75-30
GW441756,RH-41
PD0325901,NCI-H1944
Entospletinib,OV-7
Olaparib,DG-75
Topotecan,SW1271
Bleomycin,HDLM-2
Bromosporine,HSC-4
NVP-ADW742,DBTRG-05MG
AZD3759,LB373-MEL-D
SCH772984,NCI-H524
Irinotecan,NCC021
PLX-4720,KMS-11
Selumetinib_1062,ES4
Pevonedistat,NCI-H1944
Bleomycin (50 uM),EW-22
I-BET-762,NMC-G1
PAK_5339,NCI-H1869
WEHI-539,EKVX
KU-55933,SK-MEL-5
Fludarabine,LS-411N
Afatinib,HT-144
WEHI-539,SF126
Wnt-C59,KP-N-YN
Buparlisib,ES4
AZD6738,Ca-Ski
SB216763,ML-1
UNC0638,KARPAS-45
BEN,COLO-668
AZD6482,KON
PLX-4720,EC-GI-10
GW441756,RCC-JF
Selumetinib_1062,RPMI-8402
MN-64,CHP-212
MIRA-1,UACC-257
Selumetinib_1062,HA7-RCC
BEN,MKN1
Wnt-C59,BPH-1
MK-8776,PCI-30
Bromosporine,SNU-175
SCH772984,MKN1
Docetaxel_1819,MN-60
PFI-1,CPC-N
KU-55933,SW982
XAV939,CCK-81
AZD5363,PANC-10-05
ABT737,HCC-44
UMI-77,MHH-CALL-2
Pevonedistat,L-428
Lapatinib,OCUB-M
Dabrafenib,RCH-ACV
Vismodegib,COR-L32
WEHI-539,SK-MM-2
Telomerase Inhibitor IX,IA-LM
MN-64,U-266
ABT737,NMC-G1
alpha-lipoic acid,SIMA
NU7441,Hs-445
PRT062607,A2058
AZD2014,RH-1
VE821,RCC-JF
UMI-77,COR-L32
WEHI-539,OPM-2
AMG-319,KYSE-220
AZD1208,EW-22
AT13148,NKM-1
PAK_5339,A673
BMS-345541,ONS-76
AZD6738,NKM-1
MIRA-1,COLO-668
AZD2014,HLE
NVP-ADW742,KGN
Entospletinib,TE-8
Tamoxifen,DG-75
MN-64,SW962
Buparlisib,PANC-10-05
Niraparib,TE-4
Afatinib,YH-13
Sorafenib,CHP-134
Wnt-C59,Calu-6
alpha-lipoic acid,GDM-1
Docetaxel_1819,YAPC
GSK-LSD1,ONS-76
Tanespimycin,A101D
MIRA-1,SF268
Dabrafenib,COLO-320-HSR
NVP-ADW742,DMS-79
ML323,MDA-MB-231
GSK-LSD1,OCI-M1
Uprosertib_2106,COLO-684
Cyclophosphamide,SW626
AZD8055,T-T
PFI-1,HDQ-P1
Wnt-C59,IA-LM
GSK-LSD1,769-P
AGI-5198,EKVX
Nilotinib,COR-L32
Cisplatin,NCI-H1944
WIKI4,JM1
AZD6738,BB65-RCC
WIKI4,CAL-85-1
Trametinib,SK-MM-2
Fludarabine,HTC-C3
SCH772984,HCC1428
Cisplatin,EW-1
Nilotinib,STS-0421
MK-8776,RPMI-8866
AZD3759,SK-MEL-28
Uprosertib_1553,GDM-1
Olaparib,SW962
PD0325901,HC-1
Entinostat,U-698-M
BI-2536,GB-1
Trametinib,D-263MG
Cyclophosphamide,SU-DHL-5
Cytarabine,SW620
GSK591,CRO-AP2
ABT737,JiyoyeP-2003
GSK591,DMS-79
Niraparib,PCI-6A
AZD5363,RC-K8
Cisplatin,PEO1
Uprosertib_2106,BV-173
Selumetinib_1736,Ca-Ski
CCT-018159,NCI-H1105
Nilotinib,CHP-212
SB216763,NOS-1
BEN,HAL-01
Gallibiscoquinazole,MDA-MB-415
Bleomycin,KARPAS-45
SB590885,RCH-ACV
WIKI4,TGBC11TKB
I-BET-762,MDA-MB-361
Ulixertinib_1908,HuH-7
Uprosertib_1553,RCC-JW
Selumetinib_1736,TGBC11TKB
PFI-1,Hs-445
Mycophenolic acid,SNU-407
Niraparib,NB10
AT13148,SF295
NU7441,NCI-H748
Selumetinib_1062,Mo-T
Buparlisib,SF126
OTX015,SK-N-DZ
Trametinib,MHH-PREB-1
AT13148,SK-MG-1
Dihydrorotenone,OCI-AML5
Schweinfurthin A,SK-MG-1
Dabrafenib,NCI-H2030
UNC0379,PA-TU-8902
PF-4708671,HA7-RCC
AZD1208,CPC-N
Vismodegib,KU812
Pyridostatin,ME-180
Axitinib,OV-90
Cyclophosphamide,HSC-4
SB216763,CPC-N
PFI-1,HGC-27
BMS-345541,DoTc2-4510
Olaparib,COLO-205
PLX-4720,EW-1
LGK974,RKO
JQ1,ME-180
Dabrafenib,KYSE-50
WEHI-539,YH-13
WEHI-539,KYSE-520
BMS-345541,TGBC24TKB
Telomerase Inhibitor IX,ME-180
BEN,DAN-G
Bromosporine,SW626
PFI-1,COLO-824
AGI-5198,IA-LM
I-BET-762,A172
Sorafenib,EVSA-T
SCH772984,CS1
VE821,MS-1
AMG-319,KP-4
BMS-536924,KS-1
AGI-5198,PANC-08-13
SB590885,NMC-G1
5-azacytidine,SNU-449
5-azacytidine,NCI-H1993
NVP-ADW742,KMS-11
AMG-319,IST-MEL1
AMG-319,HCC1569
PFI-1,SW620
Remodelin,NCI-H1793
CCT-018159,DOHH-2
AZD5363,MHH-PREB-1
LCL161,U-266
Ulixertinib_1908,YH-13
Bleomycin,SW1271
PRT062607,KU812
Pevonedistat,RCC-JW
PLX-4720,PANC-08-13
SCH772984,NCI-H1993
Bleomycin (50 uM),SK-MEL-2
LGK974,ES-2
Entinostat,PANC-08-13
Nilotinib,PE-CA-PJ15
Wee1 Inhibitor,FU97
Cyclophosphamide,RCC-JF
SCH772984,PANC-03-27
Selumetinib_1062,A253
AZD5991,YAPC
UNC0638,ES-2
alpha-lipoic acid,SUP-T1
Ulixertinib_1908,SK-MEL-5
Remodelin,NCI-H2141
GSK591,SW156
GW441756,COLO-783
Uprosertib_1553,TE-6
Wnt-C59,HCC2157
MN-64,RT4
GSK591,BFTC-905
PRT062607,RERF-LC-Sq1
Selumetinib_1736,PA-TU-8902
KU-55933,KP-N-YN
Irinotecan,ONS-76
Talazoparib,GAMG
OTX015,CP66-MEL
Lapatinib,RKO
AZD5991,CPC-N
Afatinib,KYSE-220
UNC0379,IHH-4
ZM447439,OCI-M1
AT13148,SU-DHL-10
Nelarabine,SW620
XAV939,KMS-11
BMS-345541,KS-1
Nilotinib,NB10
AZD5991,CHP-134
Telomerase Inhibitor IX,CL-11
Uprosertib_1553,KY821
GW441756,23132-87
AGI-5198,EW-18
Pyridostatin,GAMG
PFI-1,RCC-MF
Dihydrorotenone,HCC-44
Cediranib,PANC-08-13
Nilotinib,IA-LM
BI-2536,BHT-101
Bleomycin (50 uM),SK-N-DZ
GSK2578215A,WIL2-NS
Lapatinib,YH-13
Bromosporine,COLO-205
Cediranib,COR-L311
Nilotinib,U251
Irinotecan,Hs-445
Trametinib,SW1088
SCH772984,COR-L279
Bromosporine,DBTRG-05MG
WEHI-539,ES8
Selumetinib_1062,HSC-39
Nelarabine,MIA-PaCa-2
Cytarabine,HCC1428
GW441756,U-266
GSK-LSD1,U-698-M
MG-132,HCC1428
Pyridostatin,PC-3_[JPC-3]
Gemcitabine,TGBC24TKB
Ulixertinib_1908,RCC-JF
Uprosertib_1553,MOLT-4
NU7441,EW-16
AZD6738,MHH-CALL-2
Entinostat,HGC-27
ZM447439,LAN-6
N-acetyl cysteine,UM-UC-3
SB590885,DU-145
AZD5991,NB13
GSK2578215A,A375
AZD6738,IST-SL2
Sorafenib,L-363
LGK974,SK-N-SH
Cediranib,SNU-407
WEHI-539,MOLP-8
Mycophenolic acid,HLE
VE821,Farage
UNC0638,SUIT-2
BMS-536924,BFTC-905
AMG-319,RCC-MF
MK-8776,RERF-LC-Sq1
PRT062607,LB373-MEL-D
Lapatinib,HT-3
Buparlisib,G-361
XAV939,SISO
ML323,SK-MEL-30
GSK269962A,PL-21
PRT062607,MOLM-16
MN-64,MDA-MB-415
NVP-ADW742,Jurkat
AZD5991,HPAC
SB216763,TGW
LCL161,MN-60
LGK974,JHH-1
Remodelin,SW620
GSK1904529A,CL-11
Olaparib,LB996-RCC
PLX-4720,Jurkat
SB505124,SUP-B8
Wnt-C59,DG-75
Ulixertinib_1908,TGW
Entospletinib,MN-60
5-azacytidine,NCI-H2052
UNC0638,OVISE
Paclitaxel,MFH-ino
KU-55933,RPMI-8866
Entinostat,HC-1
XAV939,NCI-H211
Tamoxifen,ES-2
LCL161,HCC1937
AZD3759,CS1
Telomerase Inhibitor IX,SK-CO-1
PFI-1,SK-LMS-1
MK-8776,NCI-H716
LGK974,YH-13
Fludarabine,SAS
NU7441,CPC-N
GSK1904529A,JIMT-1
Cediranib,SK-MG-1
Olaparib,JM1
Pyridostatin,NB69
Lapatinib,KMS-11
AMG-319,LB2518-MEL
Cytarabine,NOS-1
Bleomycin (50 uM),COR-L88
Cediranib,GP5d
I-BET-762,MSTO-211H
Selumetinib_1736,RT4
GSK-LSD1,JiyoyeP-2003
BEN,DK-MG
N-acetyl cysteine,MN-60
N-acetyl cysteine,HuH-7
UMI-77,KARPAS-45
BMS-345541,EW-16
GW441756,DMS-79
Cytarabine,PA-TU-8902
Uprosertib_1553,PA-TU-8902
JQ1,ES1
Sorafenib,BB65-RCC
OTX015,NCI-H1869
Axitinib,KMRC-20
OTX015,LB2518-MEL
5-azacytidine,NCI-H322M
JQ1,HTC-C3
Sepantronium bromide,HAL-01
Pyridostatin,D-423MG
AZD5363,SK-N-SH
AMG-319,RS4-11
Uprosertib_1553,ES7
PRT062607,NCI-H727
Mycophenolic acid,NCI-H524
AZD1208,CL-11
Bleomycin (50 uM),NCI-H2347
ABT737,SW156
GW441756,DMS-53
Irinotecan,Hs-633T
GSK-LSD1,CHSA8926
VE821,A375
AZD6738,PE-CA-PJ15
5-azacytidine,BL-41
VE821,SK-CO-1
Sorafenib,COR-L88
CCT-018159,TE-441-T
PRT062607,ST486
GW441756,EKVX
AZD7762,MDA-MB-231
GSK2578215A,DAN-G
NU7441,EFO-21
AT13148,MSTO-211H
5-azacytidine,RKO
Selumetinib_1736,ALL-PO
MK-8776,FTC-133
BMS-345541,A673
XAV939,EW-16
BMS-345541,JVM-3
Nelarabine,ES7
PAK_5339,SW620
PLX-4720,PANC-03-27
PD0325901,NCI-H2347
BEN,DND-41
AZD8055,TGW
BI-2536,BHY
SCH772984,JVM-3
Lapatinib,SU8686
MN-64,DK-MG
PRT062607,OACp4C
Trametinib,ME-1
Entinostat,KNS-81-FD
Lapatinib,Ca-Ski
UNC0379,SBC-5
Tamoxifen,UACC-257
UNC0379,KMOE-2
Lapatinib,DoTc2-4510
Olaparib,NCI-H1793
Selumetinib_1062,TE-12
ML323,SW156
Tamoxifen,NCI-H2196
IAP_5620,SNU-449
Wnt-C59,JM1
PD0325901,DAN-G
Olaparib,UACC-62
Ulixertinib_1908,SK-N-SH
CZC24832,PCI-15A
Camptothecin,SU8686
Selumetinib_1736,BFTC-905
ML323,SAT
Sinularin,EVSA-T
ML323,CHP-212
UMI-77,DAN-G
BMS-536924,MZ7-mel
CCT-018159,COR-L32
Cyclophosphamide,RCC-FG2
Selumetinib_1736,SKG-IIIa
SN-38,LS-123
Fludarabine,PCI-4B
Topotecan,D-263MG
MN-64,CL-11
KU-55933,LB2518-MEL
Entinostat,KYSE-520
Lapatinib,NCI-H929
PLX-4720,JHU-022
ML323,D-502MG
Nilotinib,COLO-824
BI-2536,CHSA8926
NU7441,MDST8
Wnt-C59,COR-L32
Sorafenib,PCI-4B
N-acetyl cysteine,LS-411N
5-azacytidine,RPMI-8866
Wee1 Inhibitor,D-502MG
BMS-536924,EN
NU7441,EW-18
GSK591,SK-MEL-30
SB590885,SBC-5
MN-64,NCI-H1869
Gallibiscoquinazole,BPH-1
5-azacytidine,HSC-4
GW441756,MKN1
Irinotecan,SW982
Wee1 Inhibitor,HLE
Olaparib,Hs-633T
GSK2578215A,COR-L279
AZD6738,SK-MEL-1
PFI-1,MDA-MB-468
NU7441,CL-11
GSK-LSD1,SNU-175
Tanespimycin,EW-22
AGI-5198,NCI-H1869
AZD5363,AM-38
AZD6738,PCI-15A
SB590885,YAPC
MN-64,ARH-77
Tamoxifen,EW-11
ABT737,LS-411N
Pyridostatin,HLE
Selumetinib_1736,SNU-449
PFI-1,SF268
AZD5363,UACC-257
NU7441,TE-4
Talazoparib,BHY
WIKI4,NCI-H2030
AGI-5198,ML-1
Cyclophosphamide,KYSE-450
Tamoxifen,NCI-H2347
VE821,TGBC11TKB
AZD1208,TE-6
AMG-319,ST486
Cytarabine,Mewo
Cytarabine,JHH-1
MK-8776,UACC-257
Cisplatin,COLO-205
CZC24832,JVM-3
Dihydrorotenone,Farage
Sorafenib,JHU-022
Afatinib,Mo-T
N-acetyl cysteine,BV-173
WEHI-539,NCI-H1915
CZC24832,D-502MG
WEHI-539,L-428
XAV939,LU-65
NU7441,NCI-H2347
Sinularin,NCI-H727
Sorafenib,SK-MEL-1
Axitinib,NCI-H322M
VE821,A2058
Fludarabine,KYSE-520
GSK2578215A,DND-41
Cytarabine,ME-1
PLX-4720,UM-UC-3
Talazoparib,U-266
SB216763,L-363
PF-4708671,NCI-H748
PFI-1,DK-MG
Remodelin,ESO51
BI-2536,HTC-C3
PFI-1,MN-60
Tanespimycin,SU8686
Niraparib,FTC-133
NVP-ADW742,SNU-175
Gemcitabine,OCUB-M
NVP-ADW742,U-87-MG
alpha-lipoic acid,Ca-Ski
Gallibiscoquinazole,RCC10RGB
GSK591,NCI-H69
Selumetinib_1736,MOLT-4
Camptothecin,HCC1419
BMS-345541,LB647-SCLC
I-BET-762,PEO1
GSK591,AU565
UNC0379,Hs-633T
Pyridostatin,MN-60
Selumetinib_1062,ZR-75-30
SCH772984,RCC10RGB
JQ1,KMRC-20
Dabrafenib,MOLM-16
Pevonedistat,BHY
AMG-319,IA-LM
MK-8776,TOV-112D
Olaparib,YH-13
XAV939,MHH-CALL-2
UMI-77,COR-L279
Uprosertib_1553,BE2-M17
SCH772984,FU97
Vismodegib,BE-13
UNC0638,KYSE-220
GW441756,U251
OTX015,DBTRG-05MG
LGK974,MDA-MB-415
NU7441,SW1710
Nelarabine,SUIT-2
NU7441,NCI-H929
Daporinad,SK-MEL-5
N-acetyl cysteine,RH-41
Dabrafenib,BPH-1
I-BET-762,LAN-6
CZC24832,IHH-4
Tamoxifen,SW1710
ABT737,WM278
Topotecan,BE2-M17
WIKI4,JIMT-1
WIKI4,NCI-N87
Buparlisib,RKO
MK-8776,HCC2998
PFI-1,LAN-6
BMS-345541,GAMG
BEN,SU-DHL-10
PD0325901,LN-405
Fludarabine,MS-1
Pyridostatin,WM278
Entinostat,A253
Vismodegib,KYSE-220
XAV939,NCI-H322M
Pevonedistat,KYAE-1
Afatinib,YAPC
Wee1 Inhibitor,OACp4C
I-BET-762,NCI-H1755
GSK-LSD1,RKO
Gallibiscoquinazole,NCI-H211
UNC0638,OCI-AML3
Wnt-C59,CP66-MEL
AZD5363,SW1088
GSK2578215A,RPMI-8226
MK-8776,NCI-N87
Bleomycin (50 uM),HCC2157
KU-55933,D-263MG
Uprosertib_2106,COLO-320-HSR
Tanespimycin,BT-483
Axitinib,OCUB-M
GSK-LSD1,SW982
Pyridostatin,SNU-449
AZD5991,CP66-MEL
Entospletinib,KP-4
AZD5363,DU-145
Wee1 Inhibitor,DMS-114
Uprosertib_1553,KYAE-1
UNC0379,DAN-G
IAP_5620,TE-6
OTX015,KON
PLX-4720,NCI-H322M
N-acetyl cysteine,OVKATE
WIKI4,HCC1569
Lapatinib,HCC-44
Rapamycin,NCI-H716
Wnt-C59,NB5
SB590885,HCC2157
AZD8055,NB12
Uprosertib_1553,A3-KAW
Talazoparib,OV-7
Entospletinib,KYSE-510
Wee1 Inhibitor,SF268
Olaparib,COR-L88
PRT062607,OCI-AML5
Gemcitabine,KYAE-1
Dabrafenib,PEO1
Wee1 Inhibitor,KMRC-20
WEHI-539,COR-L88
CZC24832,HLE
Bromosporine,MDA-MB-361
Nelarabine,DB
Wee1 Inhibitor,OV-7
UMI-77,SW1088
AZD2014,SiHa
UMI-77,JHH-1
MK-8776,CS1
PD0325901,OPM-2
Tamoxifen,BFTC-905
CZC24832,U-698-M
Telomerase Inhibitor IX,SK-MEL-1
N-acetyl cysteine,FU97
Ulixertinib_1908,HCC-44
WIKI4,NCI-H82
XAV939,TC-71
Irinotecan,MN-60
MIRA-1,RKO
AZD5363,SAS
Tretinoin,BB65-RCC
Lapatinib,NB13
BMS-345541,SW962
AT13148,SW1417
Topotecan,CHSA8926
Entospletinib,KYSE-450
AZD2014,HAL-01
I-BET-762,NOMO-1
LCL161,KP-N-YN
Cytarabine,PEO1
KU-55933,GOTO
Tamoxifen,D-566MG
Buparlisib,NCI-H1105
KU-55933,EW-11
LJI308,CAL-85-1
BEN,RL95-2
Niraparib,CAL-33
SB590885,FTC-133
IAP_5620,NCI-H1869
Lapatinib,D-502MG
Uprosertib_1553,VCaP
Irinotecan,JHH-1
Vinorelbine,HPAC
Nelarabine,U251
AZD3759,A549
Afatinib,SUIT-2
Irinotecan,NCI-H2141
VE821,COR-L321
Selumetinib_1736,MG-63
NU7441,CAL-72
Gallibiscoquinazole,AMO-1
Fludarabine,A3-KAW
Fludarabine,NCI-H1793
SCH772984,PANC-10-05
Trametinib,NCI-H1793
AZD5991,SBC-5
BMS-345541,HOS
GSK2578215A,SNB75
N-acetyl cysteine,CAL-85-1
WEHI-539,PSN1
Ulixertinib_1908,IST-MEL1
AZD7762,KNS-42
PD0325901,MOLT-4
Olaparib,NCI-H2029
Axitinib,EW-22
AZD6738,NCI-H1105
MN-64,OVCAR-5
WEHI-539,SK-MES-1
BMS-536924,MOLP-8
AZD1208,ASH-3
AT13148,HAL-01
PRT062607,LS-513
Bleomycin (50 uM),SW1088
AZD5991,A172
Bromosporine,COLO-684
I-BET-762,SF126
Axitinib,NCI-H2009
GSK-LSD1,RL95-2
AZD6482,LAN-6
Uprosertib_2106,NCI-H835
Nelarabine,MDA-MB-231
Ulixertinib_1908,EVSA-T
5-azacytidine,A3-KAW
Fludarabine,VCaP
AZD5363,SBC-5
AZD1208,IA-LM
WIKI4,PC-3_[JPC-3]
KU-55933,NU-DUL-1
JQ1,DAN-G
Remodelin,KY821
Fludarabine,U-698-M
JQ1,KP-N-YN
Talazoparib,HCT-116
WIKI4,HCC1395
SCH772984,WM278
ZM447439,LN-405
Irinotecan,Detroit562
CZC24832,RC-K8
NVP-ADW742,SW156
Pyridostatin,NMC-G1
SCH772984,NKM-1
Entinostat,COLO-824
Dabrafenib,SW1710
AZD5363,KYAE-1
MK-8776,KP-4
GSK2578215A,HCC2218
Docetaxel_1819,HDQ-P1
WIKI4,SNU-449
Uprosertib_1553,5637
Talazoparib,MKN7
Selumetinib_1062,SU-DHL-10
AZD1208,BFTC-905
BMS-345541,HSC-4
Sorafenib,TC-71
JQ1,HCT-116
IAP_5620,SK-LU-1
Entospletinib,NCI-H1869
PD0325901,OVKATE
BEN,SW1271
Wee1 Inhibitor,WIL2-NS
JQ1,PCI-30
ZM447439,BT-483
Irinotecan,SW1271
5-azacytidine,PCI-30
Lapatinib,EW-11
Wnt-C59,UACC-893
Uprosertib_1553,KYSE-520
SCH772984,RPMI-8866
Topotecan,CCK-81
SB216763,PANC-08-13
Nilotinib,NCI-H322M
Uprosertib_1553,SNU-407
NVP-ADW742,Detroit562
BMS-345541,Detroit562
WIKI4,SK-MEL-2
LGK974,LS-411N
AZD6738,CGTH-W-1
Afatinib,JURL-MK1
BEN,CHP-212
Cytarabine,SK-MM-2
LGK974,SW620
N-acetyl cysteine,DU-145
BMS-536924,PE-CA-PJ15
5-azacytidine,CCK-81
AZD6738,NCI-H835
Lapatinib,HuH-7
AT13148,SK-MEL-1
ML323,GDM-1
Sinularin,LC-1-sq
AMG-319,SK-GT-4
WEHI-539,SW620
Trametinib,SF295
Vismodegib,OV-7
BMS-536924,GP5d
Vinorelbine,SU8686
ABT737,CP66-MEL
Sorafenib,SUP-B8
GSK2578215A,SAT
Ulixertinib_1908,RCC10RGB
PLX-4720,NCI-H2029
GW441756,NCI-H748
Bleomycin (50 uM),TGW
GSK591,COR-L88
PRT062607,HCC-44
Buparlisib,MDA-MB-415
Ulixertinib_1908,SK-GT-4
Fludarabine,CCK-81
LCL161,UACC-257
OTX015,SUIT-2
AZD5363,CHP-134
PD0325901,HSC-4
AT13148,BHT-101
PAK_5339,RT4
GW441756,NCI-H727
I-BET-762,NCI-H2228
AZD6738,TT
BMS-536924,RPMI-8402
OTX015,COLO-783
AZD6738,VCaP
SB216763,SCC-4
VE821,SW1271
N-acetyl cysteine,BPH-1
Uprosertib_2106,RC-K8
GSK269962A,IST-SL2
Irinotecan,EN
AMG-319,A253
MN-64,KON
AZD1208,MDA-MB-415
VE821,SU-DHL-5
Topotecan,HPAC
LCL161,NCI-H2135
NU7441,D-283MED
GSK591,MOLT-4
PRT062607,MIA-PaCa-2
PAK_5339,L-428
AZD5991,D-263MG
XAV939,OVCAR-5
GSK269962A,PCI-15A
Buparlisib,UM-UC-3
PAK_5339,RCC-JW
Schweinfurthin A,OVCA420
Afatinib,DND-41
Dabrafenib,SUIT-2
Remodelin,BV-173
Entospletinib,OV-90
MN-64,SUIT-2
Trametinib,KYSE-510
Irinotecan,NCI-H2009
LCL161,COLO-205
Bromosporine,YAPC
SB590885,SU-DHL-5
Sinularin,EW-22
PLX-4720,YAPC
LGK974,NCI-H2196
ZM447439,NCI-H1755
GSK2578215A,NCI-H1993
Mycophenolic acid,A101D
PLX-4720,MFH-ino
MK-8776,SNU-449
Wee1 Inhibitor,IMR-5
AGI-5198,ESO51
Vismodegib,HA7-RCC
SB216763,SBC-5
MN-64,Mo-T
BEN,NCI-H1666
LGK974,BB65-RCC
AZD6738,VAL
GSK2578215A,HTC-C3
Nelarabine,MG-63
Afatinib,RCC-MF
OTX015,MN-60
Bleomycin (50 uM),TK10
GSK2578215A,JHOS-4
SCH772984,TC-71
Fludarabine,MKN1
Schweinfurthin A,A101D
LJI308,Mewo
Bleomycin (50 uM),PCI-30
Afatinib,NCI-H510A
SB590885,NCI-H1915
Topotecan,HA7-RCC
Trametinib,NB1
LCL161,GAMG
PFI-1,IMR-5
BMS-536924,LS-411N
AZD5991,KMOE-2
KU-55933,A388
PD0325901,SK-LMS-1
Afatinib,D-566MG
IAP_5620,HDLM-2
Niraparib,TK10
WIKI4,SUIT-2
Sinularin,PANC-08-13
WIKI4,Ramos-2G6-4C10
I-BET-762,UACC-893
AZD6482,COR-L321
Gemcitabine,ASH-3
PRT062607,ONS-76
XAV939,NCI-H2135
PF-4708671,NCI-H2110
Selumetinib_1062,JiyoyeP-2003
Bleomycin,U-87-MG
N-acetyl cysteine,HAL-01
Lapatinib,YAPC
MK-8776,KMRC-20
GW441756,GDM-1
IAP_5620,COLO-205
Sinularin,NALM-6
BEN,HPAC
Wnt-C59,CHP-134
Remodelin,SU-DHL-5
Talazoparib,SW1088
PRT062607,COR-L32
VE821,VAL
Bleomycin,A2058
AZD1208,HCC1419
UMI-77,ARH-77
BMS-536924,A101D
NVP-ADW742,GAMG
Afatinib,DMS-79
LJI308,ME-1
OTX015,MDA-MB-415
GSK1904529A,NCI-H1944
Afatinib,NCI-H2444
5-azacytidine,DMS-53
Uprosertib_2106,ST486
UNC0638,KYAE-1
Fludarabine,SK-MEL-5
Tamoxifen,BHY
GSK1904529A,HCC-366
MIRA-1,TK10
PLX-4720,PE-CA-PJ15
Schweinfurthin A,GAMG
UNC0638,KALS-1
AGI-5198,KMOE-2
Tamoxifen,PCI-30
BMS-345541,SF295
Tamoxifen,NOS-1
Niraparib,MEL-HO
Bleomycin (50 uM),JHH-1
Gallibiscoquinazole,SKM-1
OTX015,NCI-H2196
BEN,EW-18
Pyridostatin,NCI-H1793
Nelarabine,OE33
LCL161,SKM-1
alpha-lipoic acid,NCI-H1793
BMS-345541,OV-90
UMI-77,SK-MM-2
Mycophenolic acid,NCI-H2066
PFI-1,NB69
AZD5991,BV-173
IAP_5620,TE-4
KU-55933,BPH-1
Schweinfurthin A,DMS-114
I-BET-762,HDQ-P1
Telomerase Inhibitor IX,SW962
Vismodegib,PCI-30
Talazoparib,TGBC11TKB
Cyclophosphamide,HCC-366
Bleomycin (50 uM),MFM-223
AT13148,HCC-44
AZD2014,SUP-T1
MN-64,HCC2157
Cediranib,NCI-H748
ZM447439,KYAE-1
SB590885,LB996-RCC
Selumetinib_1736,Jurkat
JQ1,EMC-BAC-2
Pyridostatin,EW-22
NU7441,NCI-N87
BEN,MDA-MB-231
Irinotecan,SK-MEL-30
Vismodegib,GI-1
I-BET-762,HCC-366
SB216763,RH-1
JQ1,NCI-H1915
NVP-ADW742,KELLY
UNC0379,RPMI-8402
OTX015,SK-CO-1
Mycophenolic acid,TGBC11TKB
UNC0379,OV-90
AGI-5198,PL-21
Axitinib,RL95-2
PFI-1,TUR
Niraparib,TGW
ABT737,A2058
LCL161,Ramos-2G6-4C10
Ulixertinib_1908,SF126
ABT737,NCI-H2347
LCL161,COLO-783
Buparlisib,SK-MEL-2
LGK974,STS-0421
Olaparib,HCT-116
Axitinib,CPC-N
AZD5363,MOLT-16
PRT062607,DMS-53
MIRA-1,NMC-G1
SB590885,SiHa
GSK591,RH-41
Trametinib,PC-3_[JPC-3]
AZD3759,SCC-4
Ulixertinib_1908,LS-411N
Tamoxifen,SK-N-AS
MN-64,JHH-1
Cisplatin,HGC-27
